,Movie ID,Title,IMDB Rating,Directors,Writers,Stars,Storyline,Release Date,Origin Countries,Languages,Budget,Gross Worldwide,Runtime,Genres
0,tt0266697,Kill Bill: Vol. 1,8.2,​Quentin Tarantino,"noneWriters, ​Quentin Tarantino, ​Uma Thurman, noneWriters","noneStars, ​Uma Thurman, ​David Carradine, ​Daryl Hannah, noneStars","After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",Release date,"United States, China","English, Japanese, French","$30,000,000 (estimated)","$180,908,413",1 hour 51 minutes,"Action, Crime, Thriller"
1,tt4919268,Bad Boys: Ride or Die,7.0,"​Adil El Arbi, ​Bilall Fallah","​Chris Bremner, ​Will Beall, ​George Gallo","noneStars, ​Will Smith, ​Martin Lawrence, ​Vanessa Hudgens, noneStars","This Summer, the world's favorite Bad Boys are back with their iconic mix of edge-of-your seat action and outrageous comedy but this time with a twist: Miami's finest are now on the run.",Release date,United States,English,"$100,000,000 (estimated)","$235,872,081",1 hour 55 minutes,"Action, Adventure, Comedy"
2,tt12037194,Furiosa: A Mad Max Saga,7.8,​George Miller,"​George Miller, ​Nick Lathouris","noneStars, ​Anya Taylor-Joy, ​Chris Hemsworth, ​Tom Burke, noneStars",The origin story of renegade warrior Furiosa before her encounter and teamup with Mad Max.,Release date,"Australia, United States",English,"$168,000,000 (estimated)","$162,081,694",2 hours 28 minutes,"Action, Adventure, Sci-Fi"
3,tt13964390,Under Paris,5.2,​Xavier Gens,"noneWriters, ​Yannick Dahan, ​Maud Heywang, ​Xavier Gens, noneWriters","noneStars, ​Bérénice Bejo, ​Nassim Lyes, ​Léa Léviant, noneStars","To save Paris from a bloodbath, a grieving scientist is forced to face her tragic past when a giant shark appears in the Seine.",Release date,France,French,"€25,000,000 (estimated)",N/A,1 hour 44 minutes,"Action, Drama, Horror"
4,tt1684562,The Fall Guy,7.0,​David Leitch,"​Glen A. Larson, ​Drew Pearce","noneStars, ​Ryan Gosling, ​Emily Blunt, ​Aaron Taylor-Johnson, noneStars",A down-and-out stuntman must find the missing star of his ex-girlfriend's blockbuster film.,Release date,"United States, Australia, Canada",English,"$125,000,000 (estimated)","$170,853,974",2 hours 6 minutes,"Action, Comedy, Drama"
5,tt23289160,Godzilla Minus One,7.8,​Takashi Yamazaki,"​Takashi Yamazaki, ​Ishirô Honda, ​Takeo Murata","noneStars, ​Minami Hamabe, ​Ryunosuke Kamiki, ​Munetaka Aoki, noneStars","Post-war Japan is at its lowest point when a new crisis emerges in the form of a giant monster, baptized in the horrific power of the atomic bomb.",Release date,Japan,Japanese,"$15,000,000 (estimated)","$115,857,413",2 hours 4 minutes,"Action, Adventure, Drama"
6,tt17279496,Civil War,7.2,​Alex Garland,​Alex Garland,"noneStars, ​Kirsten Dunst, ​Wagner Moura, ​Cailee Spaeny, noneStars","A journey across a dystopian future America, following a team of military-embedded journalists as they race against time to reach DC before rebel factions descend upon the White House.",Release date,"United States, United Kingdom",English,"$50,000,000 (estimated)","$114,409,690",1 hour 49 minutes,"Action, Adventure, Thriller"
7,tt15239678,Dune: Part Two,8.6,​Denis Villeneuve,"​Denis Villeneuve, ​Jon Spaihts, ​Frank Herbert","noneStars, ​Timothée Chalamet, ​Zendaya, ​Rebecca Ferguson, noneStars",Paul Atreides unites with Chani and the Fremen while seeking revenge against the conspirators who destroyed his family.,Release date,"United States, Canada, United Arab Emirates, Hungary, Italy, New Zealand, Jordan, Gambia",English,"$190,000,000 (estimated)","$711,844,358",2 hours 46 minutes,"Action, Adventure, Drama"
8,tt11389872,Kingdom of the Planet of the Apes,7.2,​Wes Ball,"​Josh Friedman, ​Rick Jaffa, ​Amanda Silver","noneStars, ​Owen Teague, ​Freya Allan, ​Kevin Durand, noneStars","Many years after the reign of Caesar, a young ape goes on a journey that will lead him to question everything he's been taught about the past and make choices that will define a future for apes and humans alike.",Release date,"United States, Australia",English,"$160,000,000 (estimated)","$378,889,907",2 hours 25 minutes,"Action, Adventure, Drama"
9,tt6263850,Deadpool & Wolverine,N/A,​Shawn Levy,"noneWriters, ​Shawn Levy, ​Rhett Reese, ​Ryan Reynolds, noneWriters","noneStars, ​Ryan Reynolds, ​Hugh Jackman, ​Emma Corrin, noneStars",Wolverine is recovering from his injuries when he crosses paths with the loudmouth Deadpool. They team up to defeat a common enemy.,Release date,United States,English,N/A,N/A,2 hours 7 minutes,"Action, Comedy, Sci-Fi"
10,tt1392190,Mad Max: Fury Road,8.1,​George Miller,"​George Miller, ​Brendan McCarthy, ​Nick Lathouris","noneStars, ​Tom Hardy, ​Charlize Theron, ​Nicholas Hoult, noneStars","In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshipper and a drifter named Max.",Release date,"Australia, United States","English, Russian","$150,000,000 (estimated)","$380,418,444",2 hours,"Action, Adventure, Sci-Fi"
11,tt5177120,The Ministry of Ungentlemanly Warfare,6.9,​Guy Ritchie,"noneWriters, ​Paul Tamasy, ​Eric Johnson, ​Arash Amel, noneWriters","noneStars, ​Henry Cavill, ​Alan Ritchson, ​Alex Pettyfer, noneStars",The British military recruits a small group of highly skilled soldiers to strike against German forces behind enemy lines during World War II.,Release date,"United States, United Kingdom, Turkey",English,"$60,000,000 (estimated)","$26,606,603",2 hours,"Action, Drama, War"
12,tt14856980,Atlas,5.6,​Brad Peyton,"​Leo Sardarian, ​Aron Eli Coleite","noneStars, ​Jennifer Lopez, ​Simu Liu, ​Sterling K. Brown, noneStars","In a bleak-sounding future, an A.I. soldier has determined that the only way to end war is to end humanity.",Release date,United States,English,N/A,N/A,1 hour 58 minutes,"Action, Adventure, Drama"
13,tt14539740,Godzilla x Kong: The New Empire,6.2,​Adam Wingard,"noneWriters, ​Terry Rossio, ​Adam Wingard, ​Simon Barrett, noneWriters","noneStars, ​Rebecca Hall, ​Brian Tyree Henry, ​Dan Stevens, noneStars","Two ancient titans, Godzilla and Kong, clash in an epic battle as humans unravel their intertwined origins and connection to Skull Island's mysteries.",Release date,"United States, Australia",English,"$135,000,000 (estimated)","$567,650,016",1 hour 55 minutes,"Action, Adventure, Fantasy"
